signal_date,benchmark_tail_digit,zhuge_score,posture,element,names_changed,neutral_return_1d_pct,close_tail_return_1d_pct,return_delta_1d_pct,neutral_crash_rate_1d_pct,close_tail_crash_rate_1d_pct,neutral_return_5d_pct,close_tail_return_5d_pct,return_delta_5d_pct,neutral_crash_rate_5d_pct,close_tail_crash_rate_5d_pct
2024-10-10,5,5.5,neutral,earth,0,-1.839725,-1.839725,0.0,0.0,0.0,-4.377795000000001,-4.377795000000001,0.0,15.0,15.0
2024-10-11,6,3.4,defensive,water,0,0.9240100000000002,0.9240100000000002,0.0,0.0,0.0,-0.4120000000000002,-0.4120000000000001,1.1102230246251565e-16,0.0,0.0
2024-10-14,9,4.2,conservative,metal,0,-2.257125,-2.257125,0.0,0.0,0.0,-0.5937449999999997,-0.5937449999999997,0.0,0.0,0.0
2024-10-15,0,5.5,neutral,earth,0,0.7153349999999999,0.7153349999999999,0.0,0.0,0.0,4.772684999999999,4.772684999999999,0.0,0.0,0.0
2024-10-16,5,5.5,neutral,earth,0,-1.6873600000000004,-1.6873600000000004,0.0,0.0,0.0,4.239915000000001,4.239915000000001,0.0,0.0,0.0
2024-10-21,5,5.5,neutral,earth,0,0.941615,0.941615,0.0,0.0,0.0,-0.15633999999999998,-0.15633999999999998,0.0,5.0,5.0
2024-10-22,9,4.2,conservative,metal,0,0.1899700000000001,0.18997000000000003,-8.326672684688674e-17,0.0,0.0,-2.5353000000000003,-2.5353000000000003,0.0,5.0,5.0
2024-10-23,4,4.2,conservative,metal,0,0.48409,0.48409,0.0,0.0,0.0,-1.892535,-1.892535,0.0,0.0,0.0
2024-10-24,0,5.5,neutral,earth,0,-0.023834999999999978,-0.023834999999999978,0.0,0.0,0.0,-2.6748950000000002,-2.6748950000000002,0.0,5.0,5.0
2024-10-25,9,4.2,conservative,metal,0,-0.53732,-0.53732,0.0,0.0,0.0,-4.55833,-4.55833,0.0,5.0,5.0
2024-10-28,5,5.5,neutral,earth,0,-1.168185,-1.168185,0.0,0.0,0.0,-1.1533449999999998,-1.1533449999999998,0.0,0.0,0.0
2024-10-29,2,7.6,aggressive,fire,0,-0.8830350000000001,-0.8830350000000001,0.0,0.0,0.0,3.833905,3.833905,0.0,0.0,0.0
2024-10-30,0,5.5,neutral,earth,0,1.4337,1.4337,0.0,0.0,0.0,5.442965,5.442965,0.0,0.0,0.0
2024-10-31,0,5.5,neutral,earth,0,-3.4597700000000002,-3.4597700000000002,0.0,35.0,35.0,8.582875000000001,8.582875000000001,0.0,0.0,0.0
2024-11-05,6,3.4,defensive,water,0,-0.7909899999999999,-0.7909899999999999,0.0,0.0,0.0,2.243915,2.243915,0.0,0.0,0.0
2024-11-06,0,5.5,neutral,earth,0,5.421889999999999,5.421889999999999,0.0,0.0,0.0,6.421690000000001,6.421690000000001,0.0,0.0,0.0
2024-11-07,7,7.6,aggressive,fire,0,-1.8668600000000002,-1.8668600000000002,0.0,5.0,5.0,-3.9975099999999997,-3.9975099999999997,0.0,5.0,5.0
2024-11-08,3,6.3,balanced,wood,0,2.8918500000000003,2.8918500000000003,0.0,5.0,5.0,-5.59308,-5.59308,0.0,5.0,5.0
2024-11-11,4,4.2,conservative,metal,0,-2.0434449999999997,-2.0434449999999997,0.0,10.0,10.0,-9.765455,-9.765455,0.0,50.0,50.0
2024-11-12,8,6.3,balanced,wood,0,1.60458,1.60458,0.0,0.0,0.0,-5.7084850000000005,-5.7084850000000005,0.0,20.0,20.0
2024-11-13,4,4.2,conservative,metal,0,-2.804185,-2.804185,0.0,15.0,15.0,-6.347964999999999,-6.347964999999999,0.0,20.0,20.0
2024-11-14,3,6.3,balanced,wood,0,-3.056615,-3.056615,0.0,15.0,15.0,-3.080635,-3.080635,0.0,0.0,0.0
2024-12-02,0,5.5,neutral,earth,0,-0.546045,-0.546045,0.0,0.0,0.0,-1.208675,-1.208675,0.0,0.0,0.0
2024-12-06,6,3.4,defensive,water,0,-0.06303999999999996,-0.06303999999999996,0.0,0.0,0.0,-0.790895,-0.7908950000000001,-1.1102230246251565e-16,0.0,0.0
2024-12-09,3,6.3,balanced,wood,0,-3.40468,-3.40468,0.0,20.0,20.0,-4.768139999999999,-4.768139999999999,0.0,15.0,15.0
2024-12-10,4,4.2,conservative,metal,0,-0.3902449999999999,-0.3902449999999999,0.0,0.0,0.0,-2.208065,-2.208065,0.0,0.0,0.0
2024-12-12,6,3.4,defensive,water,0,-1.14267,-1.1426699999999999,2.220446049250313e-16,0.0,0.0,0.31918,0.31918,0.0,5.0,5.0
2025-02-25,0,5.5,neutral,earth,0,0.632795,0.632795,0.0,0.0,0.0,-6.353985,-6.353985,0.0,30.0,30.0
2025-02-26,3,6.3,balanced,wood,0,-0.9111700000000003,-0.91117,2.220446049250313e-16,0.0,0.0,-5.317780000000001,-5.31778,8.881784197001252e-16,20.0,20.0
2025-02-27,6,3.4,defensive,water,1,-2.801845,-2.9575500000000003,-0.1557050000000002,20.0,25.0,-0.5714299999999999,-0.46262,0.1088099999999999,5.0,5.0
2025-07-04,9,4.2,conservative,metal,0,-0.240435,-0.240435,0.0,0.0,0.0,1.8511249999999997,1.8511249999999997,0.0,0.0,0.0
2025-07-07,1,3.4,defensive,water,1,1.546125,1.38982,-0.15630499999999992,0.0,0.0,2.34078,2.2232800000000004,-0.11749999999999972,0.0,0.0
2025-07-08,5,5.5,neutral,earth,0,-1.0601200000000002,-1.0601200000000002,0.0,10.0,10.0,1.146155,1.146155,0.0,0.0,0.0
2025-07-09,2,7.6,aggressive,fire,1,0.3431349999999999,0.311815,-0.031319999999999903,0.0,0.0,2.353955,2.09667,-0.257285,0.0,0.0
2025-07-10,2,7.6,aggressive,fire,0,-0.24902999999999995,-0.24902999999999995,0.0,0.0,0.0,3.2181400000000004,3.2181400000000004,0.0,0.0,0.0
2025-07-11,6,3.4,defensive,water,0,0.9174800000000001,0.91748,-1.1102230246251565e-16,0.0,0.0,4.619560000000001,4.61956,-8.881784197001252e-16,0.0,0.0
2025-07-14,5,5.5,neutral,earth,0,1.5362799999999999,1.5362799999999999,0.0,0.0,0.0,4.1869,4.1869,0.0,0.0,0.0
2025-07-15,5,5.5,neutral,earth,0,-0.8252399999999998,-0.8252399999999998,0.0,10.0,10.0,2.8976400000000004,2.8976400000000004,0.0,0.0,0.0
2025-07-16,6,3.4,defensive,water,0,4.19055,4.19055,0.0,0.0,0.0,4.901705,4.901705,0.0,0.0,0.0
2025-07-18,9,4.2,conservative,metal,0,0.5046950000000001,0.5046950000000001,0.0,0.0,0.0,3.12387,3.12387,0.0,0.0,0.0
2025-07-21,4,4.2,conservative,metal,0,0.5879350000000001,0.5879350000000001,0.0,0.0,0.0,4.95724,4.95724,0.0,0.0,0.0
2025-07-22,8,6.3,balanced,wood,0,0.423935,0.423935,0.0,0.0,0.0,9.210955,9.210955,0.0,0.0,0.0
2025-07-23,6,3.4,defensive,water,0,0.5423700000000002,0.5423699999999998,-4.440892098500626e-16,5.0,5.0,7.1619350000000015,7.1619350000000015,0.0,0.0,0.0
2025-07-24,2,7.6,aggressive,fire,0,0.3144249999999999,0.3144249999999999,0.0,0.0,0.0,8.631635000000001,8.631635000000001,0.0,0.0,0.0
2025-07-25,0,5.5,neutral,earth,0,2.2603400000000002,2.2603400000000002,0.0,0.0,0.0,3.0378549999999995,3.0378549999999995,0.0,5.0,5.0
2025-07-28,1,3.4,defensive,water,0,2.861075,2.861075,0.0,0.0,0.0,1.594855,1.5948550000000001,2.220446049250313e-16,0.0,0.0
2025-07-29,2,7.6,aggressive,fire,0,-0.9543699999999999,-0.9543699999999999,0.0,10.0,10.0,-3.2648699999999997,-3.2648699999999997,0.0,5.0,5.0
2025-07-30,9,4.2,conservative,metal,0,-1.203485,-1.203485,0.0,5.0,5.0,-1.5960949999999998,-1.5960949999999998,0.0,5.0,5.0
2025-07-31,2,7.6,aggressive,fire,0,-1.5179100000000003,-1.5179100000000003,0.0,5.0,5.0,-1.2731599999999998,-1.2731599999999998,0.0,0.0,0.0
2025-08-01,0,5.5,neutral,earth,0,1.010885,1.010885,0.0,0.0,0.0,3.3327150000000003,3.3327150000000003,0.0,0.0,0.0
2025-08-04,9,4.2,conservative,metal,0,-1.0886099999999999,-1.0886099999999999,0.0,5.0,5.0,1.4338549999999999,1.4338549999999999,0.0,0.0,0.0
2025-08-05,0,5.5,neutral,earth,0,1.1445699999999999,1.1445699999999999,0.0,0.0,0.0,5.48427,5.48427,0.0,0.0,0.0
2025-08-06,1,3.4,defensive,water,0,-0.21210500000000004,-0.21210500000000004,0.0,0.0,0.0,10.95241,10.95241,0.0,0.0,0.0
2025-08-07,0,5.5,neutral,earth,0,1.28445,1.28445,0.0,0.0,0.0,9.580224999999999,9.580224999999999,0.0,0.0,0.0
2025-08-08,0,5.5,neutral,earth,0,0.6918000000000001,0.6918000000000001,0.0,0.0,0.0,11.14529,11.14529,0.0,0.0,0.0
2025-08-11,9,4.2,conservative,metal,0,2.34733,2.34733,0.0,0.0,0.0,12.124025,12.124025,0.0,0.0,0.0
2025-08-12,5,5.5,neutral,earth,0,5.423284999999999,5.423284999999999,0.0,5.0,5.0,6.561305,6.561305,0.0,0.0,0.0
2025-08-14,3,6.3,balanced,wood,0,3.1649550000000004,3.1649550000000004,0.0,0.0,0.0,3.5555550000000005,3.5555550000000005,0.0,0.0,0.0
2025-08-15,2,7.6,aggressive,fire,0,0.7085950000000001,0.7085950000000001,0.0,0.0,0.0,6.313969999999999,6.313969999999999,0.0,0.0,0.0
2025-08-18,4,4.2,conservative,metal,0,-0.5477400000000001,-0.5477400000000001,0.0,5.0,5.0,6.84363,6.84363,0.0,0.0,0.0
2025-08-19,2,7.6,aggressive,fire,0,2.143205,2.143205,0.0,0.0,0.0,8.589735000000001,8.589735000000001,0.0,0.0,0.0
2025-08-20,1,3.4,defensive,water,0,-0.545925,-0.5459249999999999,1.1102230246251565e-16,5.0,5.0,7.033969999999999,7.033969999999999,0.0,0.0,0.0
2025-08-21,5,5.5,neutral,earth,0,4.924080000000001,4.924080000000001,0.0,0.0,0.0,13.656790000000004,13.656790000000004,0.0,0.0,0.0
2025-08-22,6,3.4,defensive,water,1,1.02595,1.1243399999999997,0.09838999999999976,0.0,0.0,6.90672,6.0675,-0.8392200000000001,0.0,0.0
2025-08-25,2,7.6,aggressive,fire,1,0.40523999999999993,0.7932050000000002,0.3879650000000002,0.0,0.0,8.92534,9.01793,0.0925899999999995,0.0,0.0
2025-08-26,8,6.3,balanced,wood,0,0.08464000000000005,0.08464000000000005,0.0,0.0,0.0,6.598730000000001,6.598730000000001,0.0,0.0,0.0
2025-08-27,2,7.6,aggressive,fire,0,5.47056,5.47056,0.0,0.0,0.0,6.077064999999999,6.077064999999999,0.0,0.0,0.0
2025-08-28,6,3.4,defensive,water,0,0.46785000000000015,0.46785,-1.6653345369377348e-16,0.0,0.0,-3.79651,-3.79651,0.0,20.0,20.0
2025-08-29,8,6.3,balanced,wood,0,1.3035599999999998,1.3035599999999998,0.0,0.0,0.0,-2.9226899999999993,-2.9226899999999993,0.0,15.0,15.0
2025-09-01,3,6.3,balanced,wood,0,-5.1967799999999995,-5.1967799999999995,0.0,55.00000000000001,55.00000000000001,-4.718064999999998,-4.718064999999998,0.0,35.0,35.0
2025-09-02,7,7.6,aggressive,fire,0,-0.12235999999999984,-0.12235999999999984,0.0,10.0,10.0,-2.6983099999999998,-2.6983099999999998,0.0,15.0,15.0
2025-09-03,6,3.4,defensive,water,0,-8.49898,-8.49898,0.0,75.0,75.0,-3.209675,-3.209675,0.0,10.0,10.0
2025-09-05,1,3.4,defensive,water,0,-0.765855,-0.7658549999999998,1.1102230246251565e-16,5.0,5.0,2.8507249999999997,2.8507249999999997,0.0,0.0,0.0
2025-09-08,2,7.6,aggressive,fire,0,-1.613165,-1.613165,0.0,5.0,5.0,5.802855,5.802855,0.0,0.0,0.0
2025-09-09,5,5.5,neutral,earth,0,1.25436,1.25436,0.0,0.0,0.0,5.294015,5.294015,0.0,0.0,0.0
