role_key,role,horizon_days,analysis_mode,ic_days,mean_daily_spearman_ic,ic_ci_low,ic_ci_high,ic_positive_day_pct,cohort_days,high_minus_low_return_pct,spread_ci_low_pct,spread_ci_high_pct,recent_2023_plus_spread_pct,positive_years,tested_years,high_score_observations,high_score_avg_return_pct,high_score_win_rate_pct,high_score_crash_threshold_pct,high_score_crash_rate_pct,low_score_observations,low_score_avg_return_pct,low_score_win_rate_pct,low_score_crash_rate_pct,high_score_crash_reduction_vs_low_pct_points
market_regime,Market Regime Judge,1,cross_sectional_pool,0,,,,,0,,,,,0,0,0,,,-5.0,,0,,,,
market_regime,Market Regime Judge,5,cross_sectional_pool,0,,,,,0,,,,,0,0,0,,,-10.0,,0,,,,
trend,Trend Follower,1,cross_sectional_pool,209,0.04838043757571128,0.021360552194327188,0.07895644971372164,56.9377990430622,29,-0.01285587704387516,-0.43332685564505147,0.413661500110863,-0.1944540875419532,3,5,525,0.37325257142857143,50.28571428571429,-5.0,2.4761904761904763,208,0.1706221153846154,44.230769230769226,0.9615384615384616,-1.5146520146520146
trend,Trend Follower,5,cross_sectional_pool,207,0.059229694703168086,0.027299110323544262,0.08954495444541458,60.38647342995169,29,1.265880470226727,0.19016383621821,2.537981309537628,0.3298066360802746,4,5,525,2.224255238095238,51.61904761904762,-10.0,1.3333333333333335,208,0.2564572115384615,40.86538461538461,0.9615384615384616,-0.3717948717948719
livermore,Livermore Breakout Trader,1,cross_sectional_pool,296,-0.009142796158684848,-0.04013852240345388,0.024329443052787038,50.67567567567568,286,-0.11013133811804317,-0.37922340986585673,0.17765734533370314,-0.002586842376521514,2,7,2140,0.2724739252336449,46.074766355140184,-5.0,5.887850467289719,2698,0.32506793921423277,50.51890289103039,8.413639733135655,2.525789265845936
livermore,Livermore Breakout Trader,5,cross_sectional_pool,292,-0.008920589826050065,-0.04062171263232107,0.02239087405771948,49.65753424657534,282,-0.34993109967332936,-1.0769909924453345,0.35306597036182197,-0.2930168628243898,2,7,2111,1.3559425390810043,48.88678351492184,-10.0,6.442444339175745,2664,1.9408992492492487,50.825825825825824,8.295795795795796,1.8533514566200502
volume_price,Volume-Price Analyst,1,cross_sectional_pool,296,-0.01484122515011603,-0.04090241513227664,0.012071949763130729,47.97297297297297,296,0.023509734717031536,-0.19210198830364547,0.267920419507846,0.035072428140568164,4,7,2756,0.36824862119013063,48.87518142235123,-5.0,7.002902757619739,2037,0.41294261168384877,50.46637211585665,6.774668630338733,-0.22823412728100578
volume_price,Volume-Price Analyst,5,cross_sectional_pool,292,0.005309618442430945,-0.021959326464662313,0.03135070791770604,48.28767123287671,292,0.11156043663458375,-0.43121471061228794,0.6484828342797384,0.5760464145858102,4,7,2723,1.758055563716489,50.42232831435916,-10.0,7.418288652221815,1983,1.825675642965204,50.93292990418558,6.70700958144226,-0.7112790707795549
candlestick,Candlestick Pattern Analyst,1,cross_sectional_pool,296,-0.008698286687451236,-0.03579762279891177,0.01842099261364105,46.95945945945946,293,-0.05149788711810203,-0.263992207361872,0.1616891841045435,0.03440157331685286,3,7,2982,0.323733601609658,48.2897384305835,-5.0,5.969148222669349,2239,0.29566918267083525,48.012505582849485,7.682000893255918,1.7128526705865683
candlestick,Candlestick Pattern Analyst,5,cross_sectional_pool,292,-0.009397875928891347,-0.034287417925297235,0.015168276944648867,43.15068493150685,289,-0.21211684240567616,-0.7376901611969106,0.36039308002672316,-0.21000692068868668,2,7,2950,1.3184825423728812,49.42372881355932,-10.0,7.423728813559322,2196,1.7419291438979967,51.138433515482696,7.695810564663024,0.2720817511037019
overheat,Overheat Auditor,1,cross_sectional_pool,296,-0.024490166731321678,-0.05617847846964349,0.005547084647118538,44.5945945945946,296,-0.4072225039962008,-0.6817318403030099,-0.14465723261412153,-0.46242605739300546,1,7,1882,0.14161971307120086,45.961742826780025,-5.0,4.888416578108395,2103,0.5471574417498811,50.83214455539705,9.03471231573942,4.146295737631024
overheat,Overheat Auditor,5,cross_sectional_pool,292,-0.06451457582053531,-0.09113705796892947,-0.037910132862358954,39.04109589041096,292,-1.396747748898776,-2.049830439915317,-0.8088966709859516,-1.9422403165898552,2,7,1857,1.099152988691438,47.92676359719978,-10.0,6.462035541195476,2061,2.5183867540029112,52.886948083454634,8.976225133430374,2.5141895922348976
risk,Risk Manager,1,cross_sectional_pool,296,-0.02832409452135638,-0.06305672468948587,0.004442662481504653,43.58108108108108,295,-0.5170185006724223,-0.7998656248419523,-0.2524596872623641,-0.5016006601500267,0,7,2136,0.23814667602996253,47.237827715355806,-5.0,4.119850187265917,2373,0.6527202697008008,52.423093131057726,9.818794774546987,5.69894458728107
risk,Risk Manager,5,cross_sectional_pool,292,-0.05533788502422673,-0.08593715762121551,-0.02243186631631115,46.23287671232877,291,-1.587818901758081,-2.330168130505265,-0.8846766922017991,-1.912755743505907,1,7,2102,1.1173595623215986,48.43006660323502,-10.0,4.567078972407232,2294,2.5346810374891025,53.00784655623365,10.50566695727986,5.938587984872629
zhuge_orion,Zhuge Orion,1,cross_sectional_pool,0,,,,,0,,,,,0,0,0,,,-5.0,,0,,,,
zhuge_orion,Zhuge Orion,5,cross_sectional_pool,0,,,,,0,,,,,0,0,0,,,-10.0,,0,,,,
chair,Final Portfolio Chair,1,cross_sectional_pool,296,-0.036539264622996295,-0.066683757571843,-0.005497525420419792,44.932432432432435,296,-0.521301438053313,-0.8239476134334416,-0.23860556957667906,-0.5443829346959483,0,7,1670,0.09573095808383233,45.98802395209581,-5.0,4.610778443113772,1663,0.6143316295850872,52.3752254960914,9.079975947083584,4.469197503969812
chair,Final Portfolio Chair,5,cross_sectional_pool,292,-0.06846546168935451,-0.09787324178769576,-0.038848655179007256,45.20547945205479,292,-1.4825042969815574,-2.1960351995165697,-0.8499321196091297,-1.9690244136212625,1,7,1646,0.8125352369380315,46.537059538274605,-10.0,5.5893074119076545,1639,2.3384006711409397,52.47101891397193,10.006101281269068,4.416793869361413
