role_key,role,direct_weight_pct,ablation_mode,horizon_days,usable_days,mean_return_contribution_pct,mean_return_contribution_bp,contribution_ci_low_bp,contribution_ci_high_bp,mean_crash_rate_reduction_pct_points,crash_reduction_ci_low_pct_points,crash_reduction_ci_high_pct_points,mean_names_replaced_in_top20,days_with_any_top20_change_pct
market_regime,Market Regime Judge,9.0,weight_only,1,296,-0.01273349662162164,-1.273349662162164,-2.918593201013514,0.27053386824324205,-0.06756756756756757,-0.16891891891891891,0.016891891891891893,0.34459459459459457,25.33783783783784
trend,Trend Follower,18.0,weight_only,1,296,-0.01780381756756755,-1.7803817567567553,-5.580753758445947,1.9904727618243256,0.05067567567567563,-0.18581081081081083,0.2875844594594591,1.4831081081081081,65.2027027027027
livermore,Livermore Breakout Trader,17.0,weight_only,1,296,-0.0057485135135134915,-0.5748513513513491,-2.2120180320945924,0.9612235219594614,-0.01689189189189187,-0.06756756756756757,0.033783783783783855,0.35135135135135137,26.68918918918919
volume_price,Volume-Price Analyst,14.000000000000002,weight_only,1,296,-0.012903412162162165,-1.2903412162162164,-3.2953448479729706,0.6916886824324344,0.016891891891891893,-0.08445945945945946,0.13513513513513514,0.4155405405405405,30.405405405405407
candlestick,Candlestick Pattern Analyst,8.0,weight_only,1,296,1.6959459459479795e-05,0.0016959459459479796,-1.0494853040540506,1.1213771959459469,0.0,-0.05067567567567568,0.05067567567567568,0.1554054054054054,12.5
overheat,Overheat Auditor,11.0,weight_only,1,296,0.004469729729729735,0.44697297297297356,-0.94461554054054,1.8494470016891889,-0.05067567567567565,-0.1351351351351351,0.01689189189189194,0.38175675675675674,27.364864864864863
risk,Risk Manager,18.0,weight_only,1,296,-0.005518479729729716,-0.5518479729729716,-1.9729817989864846,0.7726019847972989,2.400482215405744e-17,-0.05067567567567568,0.05067567567567575,0.31756756756756754,23.64864864864865
zhuge_orion,Zhuge Orion,0.0,weight_only,1,296,3.750753461571475e-19,3.750753461571475e-17,0.0,1.1252260384714425e-16,0.0,0.0,0.0,0.0,0.0
chair,Final Portfolio Chair,5.0,weight_only,1,296,-0.0005963006756756623,-0.059630067567566225,-0.7174217483108091,0.7345578547297319,-0.016891891891891893,-0.05067567567567568,0.0,0.0472972972972973,4.391891891891892
market_regime,Market Regime Judge,9.0,weight_only,5,292,-0.03848571917808216,-3.8485719178082163,-7.9334721746575285,0.052341267123292005,-0.08561643835616438,-0.2054794520547945,0.03424657534246575,0.3321917808219178,24.65753424657534
trend,Trend Follower,18.0,weight_only,5,292,-0.1113041780821918,-11.13041780821918,-20.615988184931517,-2.470301241438359,-0.11986301369863012,-0.39383561643835613,0.15453767123287637,1.4486301369863013,64.72602739726028
