posture,zhuge_score,zhuge_weight_pct,chair_weight_pct,horizon_days,signal_days,mean_return_pct,return_delta_vs_current_bp,win_rate_pct,crash_rate_pct,mean_names_changed_vs_current_top20,days_with_any_change_pct
aggressive,7.6,0.0,5.0,1,296,0.3166271114864864,-0.04772466216216245,48.429054054054056,5.641891891891892,0.016891891891891893,1.6891891891891893
aggressive,7.6,0.0,5.0,5,292,1.4930449143835616,-0.22668493150685148,49.9486301369863,6.438356164383562,0.017123287671232876,1.7123287671232876
aggressive,7.6,1.0,4.0,1,296,0.3140950337837838,-0.30093243243243334,48.429054054054056,5.641891891891892,0.02364864864864865,2.027027027027027
aggressive,7.6,1.0,4.0,5,292,1.495428390410959,0.011662671232874108,49.98287671232877,6.438356164383562,0.023972602739726026,2.054794520547945
aggressive,7.6,2.0,3.0000000000000004,1,296,0.31457076013513513,-0.25335979729729774,48.429054054054056,5.641891891891892,0.060810810810810814,5.0675675675675675
aggressive,7.6,2.0,3.0000000000000004,5,292,1.494337345890411,-0.09744178082192091,49.965753424657535,6.421232876712329,0.06164383561643835,5.136986301369863
aggressive,7.6,3.0,2.0000000000000004,1,296,0.3127273986486487,-0.4376959459459472,48.429054054054056,5.658783783783783,0.09121621621621621,8.108108108108109
aggressive,7.6,3.0,2.0000000000000004,5,292,1.49538573630137,0.007397260273970571,49.98287671232877,6.421232876712329,0.09246575342465753,8.21917808219178
aggressive,7.6,5.0,0.0,1,296,0.312788597972973,-0.4315760135135142,48.41216216216216,5.625,0.13513513513513514,11.486486486486488
aggressive,7.6,5.0,0.0,5,292,1.501819229452055,0.6507465753424663,49.98287671232877,6.421232876712329,0.136986301369863,11.643835616438356
balanced,6.3,0.0,5.0,1,296,0.3146670439189189,-0.24373141891891925,48.39527027027027,5.641891891891892,0.010135135135135136,1.0135135135135136
balanced,6.3,0.0,5.0,5,292,1.495290770547945,-0.0020993150684946605,49.965753424657535,6.438356164383562,0.010273972602739725,1.0273972602739725
balanced,6.3,1.0,4.0,1,296,0.31628824324324323,-0.08161148648648733,48.429054054054056,5.641891891891892,0.013513513513513514,1.3513513513513513
balanced,6.3,1.0,4.0,5,292,1.4970988527397262,0.17870890410958756,49.965753424657535,6.438356164383562,0.0136986301369863,1.36986301369863
balanced,6.3,2.0,3.0000000000000004,1,296,0.314554527027027,-0.25498310810810915,48.41216216216216,5.641891891891892,0.02702702702702703,2.364864864864865
balanced,6.3,2.0,3.0000000000000004,5,292,1.497557773972603,0.22460102739725865,49.965753424657535,6.421232876712329,0.0273972602739726,2.3972602739726026
balanced,6.3,3.0,2.0000000000000004,1,296,0.3169411317567567,-0.016322635135136408,48.445945945945944,5.641891891891892,0.033783783783783786,3.040540540540541
